Row Type,Action,Ad group,Campaign,Ad group ID,Keyword status,Keyword,Type
Keyword,Add,stormkit,Campaign 1,146345542241,Enabled,penggugur kandungan,Broad match
Keyword,Add,stormkit2,WebBaru,139642918501,Enabled,penggugur kandungan,Broad match
Keyword,Add,stormkit,WebBaru,141413636783,Enabled,penggugur kandungan,Broad match
Keyword,Add,blogspot2,WebBaru,143547447755,Enabled,penggugur kandungan,Broad match
Keyword,Add,tumblr2,WebBaru,143688046318,Enabled,penggugur kandungan,Broad match
Keyword,Add,fleek2,WebBaru,145642679671,Enabled,penggugur kandungan,Broad match
Keyword,Add,stormkit2 #2,WebBaru,148370523048,Enabled,penggugur kandungan,Broad match
Keyword,Add,stormkit #2,WebBaru,148370523088,Enabled,penggugur kandungan,Broad match
Keyword,Add,blogspot2 #2,WebBaru,148370523288,Enabled,penggugur kandungan,Broad match
Keyword,Add,fleek2 #2,WebBaru,148370523488,Enabled,penggugur kandungan,Broad match
Keyword,Add,fleek,WebBaru,142565258533,Enabled,penggugur kandungan,Broad match
Keyword,Add,fleek #2,WebBaru,148370523248,Enabled,penggugur kandungan,Broad match
Keyword,Add,tumblr2 #2,WebBaru,148370523328,Enabled,penggugur kandungan,Broad match
